Customer ID,Age,Gender,Location,Purchase Amount,Product Category,Payment Method,Frequency of Purchase,Subscription Status,Review Rating,Previous Purchases,Purchase_Amount_Outlier_Flag
CUST10111,56.0,Female,San Diego,15.33,Clothing,Debit Card,Weekly,No,3.4,6.0,False
CUST10328,56.0,Female,Houston,81.66,Toys,Bank Transfer,Quarterly,No,2.3,7.0,False
CUST10173,38.0,Female,Phoenix,47.2,Accessories,Debit Card,Weekly,No,3.3,7.0,False
CUST10411,52.0,Male,Boston,135.51,Toys,Cash,Monthly,Yes,4.9,10.0,False
CUST10537,56.0,Male,Miami,76.07499999999999,Sports,Cash,Annually,Yes,4.9,6.0,False
CUST10453,38.0,Female,Chicago,38.87,Toys,Credit Card,Bi-Weekly,No,3.0,9.0,False
CUST10064,37.0,Female,Miami,51.14,Toys,Bank Transfer,Annually,No,1.3,10.0,False
CUST10165,41.0,Male,Chicago,113.95,Groceries,Cash,Annually,No,4.5,13.0,False
CUST10078,41.0,Female,New York,131.52,Groceries,PayPal,Quarterly,Yes,1.1,10.0,False
CUST10338,17.0,Female,San Antonio,160.97,Toys,Credit Card,Quarterly,No,5.0,7.0,False
CUST10590,49.0,Female,San Antonio,66.77,Toys,Debit Card,Quarterly,No,3.5,9.0,False
CUST10415,35.0,Female,Seattle,154.23,Groceries,Bank Transfer,Quarterly,Yes,3.2,5.0,False
CUST10474,27.0,Female,Miami,131.51,Groceries,Cash,Weekly,No,3.9,9.0,False
CUST10025,34.0,Male,San Antonio,218.94,Beauty,Credit Card,Bi-Weekly,Yes,3.0,6.0,False
CUST10591,24.0,Female,San Antonio,117.83,Home & Kitchen,Bank Transfer,Monthly,Yes,4.1,9.0,False
CUST10306,41.0,Female,Seattle,115.54,Beauty,Cash,Quarterly,No,1.5,8.0,False
CUST10108,38.0,Female,Phoenix,99.71,Books,Bank Transfer,Quarterly,No,4.0,11.0,False
CUST10074,17.0,Male,Boston,57.02,Clothing,PayPal,Monthly,Yes,4.2,8.0,False
CUST10230,55.0,Male,Boston,42.2,Groceries,Bank Transfer,Bi-Weekly,No,2.0,11.0,False
CUST10107,40.0,Male,Dallas,101.41,Footwear,Credit Card,Quarterly,Yes,1.9,8.0,False
CUST10400,47.0,Female,Houston,185.06,Accessories,Credit Card,Bi-Weekly,Yes,3.7,5.0,False
CUST10413,37.0,Female,Houston,88.32,Books,Bank Transfer,Bi-Weekly,No,2.4,7.0,False
CUST10594,56.0,Male,Los Angeles,81.7,Books,PayPal,Quarterly,No,3.6,6.0,False
CUST10428,48.0,Male,Atlanta,49.53,Home & Kitchen,Credit Card,Weekly,No,1.4,8.0,False
CUST10479,29.0,Male,San Diego,111.83,Footwear,Cash,Monthly,No,3.0,6.0,False
CUST10525,46.0,Male,Atlanta,115.14,Beauty,Cash,Quarterly,No,3.0,8.0,False
CUST10531,44.0,Female,Houston,55.34,Accessories,Debit Card,Weekly,Yes,1.1,12.0,False
CUST10194,39.0,Female,Miami,86.46,Groceries,Cash,Bi-Weekly,No,1.4,8.0,False
CUST10223,31.0,Female,Boston,77.54,Footwear,Credit Card,Quarterly,No,4.9,8.0,False
CUST10404,16.0,Male,San Diego,37.75,Electronics,Credit Card,Weekly,Yes,4.1,11.0,False
CUST10346,50.0,Male,Seattle,139.63,Groceries,Credit Card,Monthly,No,1.6,5.0,False
CUST10524,34.0,Female,Houston,23.13,Groceries,Debit Card,Monthly,No,1.1,10.0,False
CUST10289,45.0,Male,Seattle,71.07,Electronics,Credit Card,Quarterly,No,2.4,10.0,False
CUST10228,34.0,Female,Seattle,39.45,Accessories,Credit Card,Weekly,No,5.0,4.0,False
CUST10233,56.0,Female,Seattle,77.15,Electronics,Cash,Monthly,No,3.0,7.0,False
CUST10175,23.0,Male,Los Angeles,65.29,Toys,Bank Transfer,Weekly,No,2.4,5.0,False
CUST10482,47.0,Female,San Diego,93.87,Sports,Debit Card,Bi-Weekly,Yes,3.4,8.0,False
CUST10080,16.0,Male,San Diego,29.09,Sports,Debit Card,Quarterly,No,1.9,10.0,False
CUST10555,55.0,Male,Los Angeles,210.65,Sports,PayPal,Weekly,No,3.6,4.0,False
CUST10455,29.0,Female,Boston,99.32,Sports,Bank Transfer,Annually,No,1.6,7.0,False
CUST10443,38.0,Female,Austin,232.24,Books,Cash,Quarterly,Yes,2.9,8.0,True
CUST10405,43.0,Male,Chicago,187.64,Toys,Debit Card,Annually,No,2.9,8.0,False
CUST10407,51.0,Male,Los Angeles,101.18,Beauty,Debit Card,Quarterly,No,3.6,5.0,False
CUST10066,39.0,Male,Atlanta,69.31,Footwear,Bank Transfer,Weekly,No,3.6,8.0,False
CUST10240,65.0,Female,Philadelphia,37.45,Sports,PayPal,Weekly,No,1.6,7.0,False
CUST10498,41.0,Male,Houston,3120.82,Home & Kitchen,PayPal,Monthly,Yes,1.7,10.0,True
CUST10352,41.0,Female,Miami,35.87,Books,Debit Card,Quarterly,Yes,2.6,4.0,False
CUST10050,33.0,Male,Atlanta,56.46,Sports,Debit Card,Quarterly,Yes,1.7,10.0,False
CUST10125,38.0,Female,Denver,106.53,Toys,Debit Card,Bi-Weekly,No,2.7,8.0,False
CUST10126,29.0,Female,Phoenix,72.65,Groceries,PayPal,Weekly,No,1.2,6.0,False
CUST10536,16.0,Female,Austin,109.77,Electronics,Debit Card,Quarterly,Yes,1.2,9.0,False
CUST10421,35.0,Female,Atlanta,97.11,Beauty,Cash,Quarterly,No,1.4,10.0,False
CUST10500,30.0,Male,Seattle,51.29,Beauty,Cash,Quarterly,Yes,2.3,6.0,False
CUST10181,32.0,Female,Boston,27.27,Books,Cash,Annually,No,2.9,11.0,False
CUST10331,58.0,Female,Dallas,36.17,Electronics,Bank Transfer,Monthly,No,1.6,12.0,False
CUST10562,38.0,Female,Boston,127.66,Electronics,Credit Card,Quarterly,No,2.8,14.0,False
CUST10186,16.0,Female,Chicago,18.99,Clothing,PayPal,Bi-Weekly,No,2.4,7.0,False
CUST10058,50.0,Female,Dallas,137.86,Home & Kitchen,Credit Card,Bi-Weekly,No,3.8,9.0,False
