Customer ID,Age,Gender,Location,Purchase Amount,Product Category,Payment Method,Frequency of Purchase,Subscription Status,Review Rating,Previous Purchases
CUST10111,56.0,F,San Diego,15.33,Clothing,DEBIT CARD,Weekly,N,3.4,6
CUST10328,56.0,F,Houston,81.66,Toys,Bank transfer,Quarterly,N,2.3,7
CUST10173,,female,Phoenix,47.2,Accessories,DEBIT CARD,Weekly,no,3.3,7
CUST10411,52.0,male,Boston,135.51,Toys,cash,Monthly,y,4.9,10
CUST10537,56.0,m,Miami,,Sports,Cash,Annually,Y,4.9,6
CUST10453,,F,Chicago,38.87,Toys,credit card,Bi-Weekly,no,,9
CUST10064,37.0,FEMALE,Miami,51.14,Toys,Bank transfer,Annually,no,1.3,10
CUST10165,41.0,Male,Chicago,113.95,Groceries,CASH,Annually,n,4.5,13
CUST10078,41.0,female,New York,131.52,Groceries,paypal,Quarterly,YES,1.1,10
CUST10338,17.0,FEMALE,San Antonio,160.97,,Credit Card,Quarterly,NO,5.0,7
CUST10590,49.0,f,San Antonio,66.77,Toys,debit card,Quarterly,no,3.5,9
CUST10415,35.0,f,Seattle,154.23,Groceries,Bank Transfer,Quarterly,Y,3.2,5
CUST10474,27.0,Female,Miami,131.51,Groceries,cash,Weekly,No,3.9,9
CUST10025,34.0,Male,San Antonio,218.94,Beauty,credit card,Bi-Weekly,Y,3.0,6
CUST10591,24.0,Female,San Antonio,117.83,Home & Kitchen,Bank transfer,Monthly,y,4.1,9
CUST10306,41.0,f,,115.54,Beauty,cash,Quarterly,n,1.5,8
CUST10108,110.0,Female,Phoenix,99.71,Books,Bank transfer,Quarterly,N,4.0,11
CUST10074,17.0,m,Boston,57.02,Clothing,Pay Pal,Monthly,YES,4.2,8
CUST10230,55.0,male,Boston,42.2,Groceries,bank transfer,Bi-Weekly,n,2.0,11
CUST10107,40.0,m,Dallas,101.41,Footwear,CREDIT CARD,Quarterly,y,1.9,8
CUST10400,47.0,f,Houston,185.06,Accessories,Credit card,Bi-Weekly,Yes,3.7,5
CUST10413,37.0,female,Houston,88.32,Books,Bank Transfer,Bi-Weekly,No,2.4,7
CUST10594,56.0,M,Los Angeles,81.7,Books,paypal,Quarterly,no,3.6,6
CUST10428,48.0,M,Atlanta,49.53,Home & Kitchen,credit card,Weekly,NO,1.4,8
CUST10479,29.0,M,San Diego,111.83,Footwear,Cash,Monthly,no,,6
CUST10525,46.0,m,Atlanta,115.14,Beauty,cash,Quarterly,No,,8
CUST10531,44.0,FEMALE,Houston,55.34,Accessories,Debit  Card,Weekly,yes,1.1,12
CUST10194,39.0,F,Miami,86.46,Groceries,CASH,Bi-Weekly,No,1.4,8
CUST10223,31.0,F,Boston,77.54,Footwear,,Quarterly,NO,4.9,8
CUST10404,16.0,M,San Diego,37.75,Electronics,CREDIT CARD,Weekly,Yes,4.1,11
CUST10346,50.0,m,Seattle,139.63,Groceries,Credit Card,Monthly,N,1.6,5
10524,34.0,Female,Houston,23.13,Groceries,Debit Card,Monthly,No,1.1,10
CUST10289,45.0,male,Seattle,71.07,Electronics,Credit Card,Quarterly,n,2.4,10
CUST10228,34.0,f,Seattle,39.45,Accessories,credit card,Weekly,NO,7.5,4
CUST10233,56.0,female,Seattle,77.15,Electronics,CASH,Monthly,No,3.0,7
CUST10175,23.0,m,Los Angeles,65.29,Toys,bank transfer,Weekly,no,2.4,5
CUST10482,47.0,f,San Diego,93.87,Sports,debit card,Bi-Weekly,y,3.4,8
CUST10080,16.0,MALE,San Diego,29.09,Sports,Debit  Card,Quarterly,No,1.9,10
CUST10555,55.0,m,Los Angeles,210.65,Sports,PAYPAL,Weekly,NO,3.6,4
CUST10455,29.0,female,Boston,99.32,Sports,Bank Transfer,Annually,No,1.6,7
CUST10531,44.0,FEMALE,Houston,51.45,Accessories,Debit  Card,Weekly,yes,1.6,12
CUST10443,38.0,female,Austin,232.24,Books,Cash,Quarterly,y,2.9,8
CUST10405,43.0,male,Chicago,187.64,Toys,Debit Card,Annually,No,2.9,8
CUST10407,51.0,Male,Los Angeles,101.18,Beauty,debit card,Quarterly,n,3.6,5
CUST10066,39.0,MALE,Atlanta,69.31,Footwear,Bank transfer,Weekly,n,3.6,8
CUST10240,65.0,FEMALE,Philadelphia,37.45,Sports,PAYPAL,Weekly,n,1.6,7
CUST10498,41.0,male,Houston,3120.82,Home & Kitchen,PAYPAL,Monthly,y,1.7,10
CUST10352,41.0,Female,Miami,35.87,Books,debit card,Quarterly,Yes,2.6,4
CUST10050,33.0,m,Atlanta,56.46,Sports,DEBIT CARD,Quarterly,YES,1.7,10
CUST10125,38.0,female,Denver,106.53,Toys,debit card,Bi-Weekly,NO,2.7,8
CUST10126,29.0,F,Phoenix,72.65,Groceries,PAYPAL,Weekly,No,1.2,6
